,Company Name,Alt Name,Website,Service Type,Coordinates,Zipcode
570,CAR VILLAGE S.R.L.,,www.carvillage-fcagroup.it/concessionario/abarth?locationCode=00008292&bannerid=DL&source=WCOR,sales,"(11.19924, 43.83193)",50019
571,Autosica,,www.autosica-fcagroup.it/concessionario/abarth?locationCode=00001406&bannerid=DL&source=WCOR,sales,"(11.728243, 44.367417)",40026
572,Brandini,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00000990&bannerid=DL&source=WCOR,sales,"(11.235795, 43.773248)",50142
573,AUTO-SI S.R.L.,,www.autosi-fcagroup.it/concessionario/abarth?locationCode=00001231&bannerid=DL&source=WCOR,sales,"(10.486307, 43.839926)",55100
574,SCOTTI S.P.A.,,www.grupposcotti-fcagroup.it/concessionario/abarth?locationCode=00005403&bannerid=DL&source=WCOR,sales,"(10.9104, 43.7049)",50053
575,AUTO ZATTI S.R.L.,, ,sales,"(10.652905, 44.914571)",42016
576,AUTO ZATTI S.R.L.,, ,sales,"(10.481246, 44.863769)",42040
577,GENERAL AUTO DI SICILIANO S.R.L.,,www.generalauto-srl.it/concessionario/abarth?locationCode=00007061&bannerid=DL&source=WCOR,sales,"(10.29759, 43.883572)",55054
578,F.LLI  BONACINI S.P.A.,,www.bonacini-fcagroup.it/concessionario/abarth?locationCode=00007989&bannerid=DL&source=WCOR,sales,"(10.880838, 44.771409)",41012
579,AUTO ZATTI S.R.L.,, ,sales,"(10.652905, 44.914571)",42016
580,GRUPPO AUTORAMA S.P.A.,,www.gruppoautorama-fcagroup.it/concessionario/abarth?locationCode=00007593&bannerid=DL&source=WCOR,sales,"(10.97799, 44.66392)",41122
581,GRUPPO BOSSONI S.P.A.,,www.gruppobossoni-fcagroup.it/concessionario/abarth?locationCode=00007289&bannerid=DL&source=WCOR,sales,"(10.789933, 45.18944)",46047
582,GRUPPO BOSSONI S.P.A.,, ,sales,"(10.789933, 45.18944)",46047
583,F.LLI BONACINI  S.P.A.,,www.bonacini-fcagroup.it/concessionario/abarth?locationCode=00002751&bannerid=DL&source=WCOR,sales,"(10.74901, 44.657426)",42100
584,AUTOTEAM 9 SRL,,www.autoteam9-fcagroup.it/concessionario/abarth?locationCode=00010259&bannerid=DL&source=WCOR,sales,"(11.244281, 45.208727)",37035
585,AUTOSTILE S.P.A.,,www.autostile-fcagroup.it/concessionario/abarth?locationCode=00002632&bannerid=DL&source=WCOR,sales,"(10.579743, 44.717633)",42100
586,AUTO ZATTI S.R.L.,, ,sales,"(10.481246, 44.863769)",42040
587,Sport Rama Gruppo Autorama,,www.gruppoautorama-fcagroup.it/concessionario/abarth?locationCode=00004555&bannerid=DL&source=WCOR,sales,"(10.787234, 44.556462)",41049
588,Maresca e Fiorentino S.p.A.,,www.marescafiorentino-fcagroup.it/concessionario/abarth?locationCode=00000850&bannerid=DL&source=WCOR,sales,"(11.279301, 44.515651)",40132
589,CECCATO AUTOMOBILI S.P.A.,,www.gruppoceccato-fcagroup.it/concessionario/abarth?locationCode=00008368&bannerid=DL&source=WCOR,sales,"(10.973218, 45.402267)",37135
590,Zancauto S.r.l.,,www.zancauto-srl.it/concessionario/abarth?locationCode=00003606&bannerid=DL&source=WCOR,sales,"(11.380042, 45.326084)",37040
591,AUTOTEAM 9 S.R.L.,,www.autoteam9-fcagroup.it/concessionario/abarth?locationCode=00008264&bannerid=DL&source=WCOR,sales,"(10.960875, 45.445028)",37138
592,Gruppoghedini,,www.gruppoghedini-fcagroup.it/concessionario/abarth?locationCode=00004079&bannerid=DL&source=WCOR,sales,"(11.402264, 44.503954)",40138
593,Auto Zatti,,www.autozatti-fcagroup.it/concessionario/abarth?locationCode=00002281&bannerid=DL&source=WCOR,sales,"(10.288466, 44.80957)",43121
594,BI-ELLE AUTO S.P.A.,, ,sales,"(11.619053, 45.225092)",35045
595,AUTOTEAM 9 S.R.L.,,www.autoteam9-fcagroup.it/concessionario/abarth?locationCode=00008015&bannerid=DL&source=WCOR,sales,"(11.779818, 45.03414)",45100
596,GRUPPO BOSSONI S.P.A.,,www.gruppobossoni-fcagroup.it/concessionario/abarth?locationCode=00001573&bannerid=DL&source=WCOR,sales,"(10.520924, 45.449339)",25015
597,Bi-Elle Auto S.p.A.,, ,sales,"(11.757195, 45.246926)",35043
598,AUTO ZATTI S.R.L.,,www.autozatti-fcagroup.it/concessionario/abarth?locationCode=00008170&bannerid=DL&source=WCOR,sales,"(10.111978, 44.85338)",43012
599,C.A.A.R. S.r.l.,,www.caar-fcagroup.it/concessionario/abarth?locationCode=00002683&bannerid=DL&source=WCOR,sales,"(10.426299, 44.436026)",42035
600,Autosica,,www.autosica-fcagroup.it/concessionario/abarth?locationCode=00001406&bannerid=DL&source=WCOR,sales,"(11.728243, 44.367417)",40026
601,Gruppoghedini,,www.gruppoghedini-fcagroup.it/concessionario/abarth?locationCode=00004079&bannerid=DL&source=WCOR,sales,"(11.402264, 44.503954)",40138
602,Maresca e Fiorentino S.p.A.,,www.marescafiorentino-fcagroup.it/concessionario/abarth?locationCode=00000850&bannerid=DL&source=WCOR,sales,"(11.279301, 44.515651)",40132
603,AUTO SICA S.R.L.,,www.autosica-fcagroup.it/concessionario/abarth?locationCode=00010119&bannerid=DL&source=WCOR,sales,"(12.041273, 44.222728)",47100
604,GHETTI MULTISERVICE S.R.L.,,www.ghetti-fcagroup.it/concessionario/abarth?locationCode=00007332&bannerid=DL&source=WCOR,sales,"(12.148678, 44.420663)",48124
605,PULZONI - ANTONELLI,,www.autosat-fcagroup.it/concessionario/abarth?locationCode=00004634&bannerid=DL&source=WCOR,sales,"(12.274898, 44.128498)",47023
606,GRUPPO AUTORAMA S.P.A.,,www.gruppoautorama-fcagroup.it/concessionario/abarth?locationCode=00007593&bannerid=DL&source=WCOR,sales,"(10.97799, 44.66392)",41122
607,CAR VILLAGE S.R.L.,,www.carvillage-fcagroup.it/concessionario/abarth?locationCode=00008292&bannerid=DL&source=WCOR,sales,"(11.19924, 43.83193)",50019
608,Dott. Manlio Palmucci S.p.A.,,www.palmucci-fcagroup.it/concessionario/abarth?locationCode=00000704&bannerid=DL&source=WCOR,sales,"(11.112023, 43.869331)",59100
609,BRANDINI S.P.A.,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00006821&bannerid=DL&source=WCOR,sales,"(10.935494, 43.987713)",51100
610,DOTT. MANLIO PALMUCCI S.P.A. - NUOVA 4M,,www.palmucci-fcagroup.it/concessionario/abarth?locationCode=00008258&bannerid=DL&source=WCOR,sales,"(11.065654, 43.879607)",59100
611,Brandini,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00000990&bannerid=DL&source=WCOR,sales,"(11.235795, 43.773248)",50142
612,Sport Rama Gruppo Autorama,,www.gruppoautorama-fcagroup.it/concessionario/abarth?locationCode=00004555&bannerid=DL&source=WCOR,sales,"(10.787234, 44.556462)",41049
613,GHETTI MULTISERVICE S.R.L.,,www.ghetti-fcagroup.it/concessionario/abarth?locationCode=00007332&bannerid=DL&source=WCOR,sales,"(12.148678, 44.420663)",48124
614,AUTO SICA S.R.L.,,www.autosica-fcagroup.it/concessionario/abarth?locationCode=00010119&bannerid=DL&source=WCOR,sales,"(12.041273, 44.222728)",47100
615,PULZONI - ANTONELLI,,www.autosat-fcagroup.it/concessionario/abarth?locationCode=00004634&bannerid=DL&source=WCOR,sales,"(12.274898, 44.128498)",47023
616,Autosica,,www.autosica-fcagroup.it/concessionario/abarth?locationCode=00001406&bannerid=DL&source=WCOR,sales,"(11.728243, 44.367417)",40026
617,DI.BA. S.P.A.,,www.diba-spa.it/concessionario/abarth?locationCode=00010130&bannerid=DL&source=WCOR,sales,"(12.58024, 44.04219)",47900
618,Gruppoghedini,,www.gruppoghedini-fcagroup.it/concessionario/abarth?locationCode=00004079&bannerid=DL&source=WCOR,sales,"(11.402264, 44.503954)",40138
619,Gruppo DIBa,,www.diba-spa.it/concessionario/abarth?locationCode=00000171&bannerid=DL&source=WCOR,sales,"(12.884779, 43.894629)",61100
620,Rossi Leauto,,www.rossileauto-fcagroup.it/concessionario/abarth?locationCode=00001597&bannerid=DL&source=WCOR,sales,"(10.09418, 44.030454)",54100
621,GENERAL AUTO DI SICILIANO S.R.L.,,www.generalauto-srl.it/concessionario/abarth?locationCode=00007061&bannerid=DL&source=WCOR,sales,"(10.29759, 43.883572)",55054
622,LA LUNENSE S.R.L.,, ,sales,"(9.969673, 44.104187)",19038
623,AUTO-SI S.R.L.,,www.autosi-fcagroup.it/concessionario/abarth?locationCode=00001231&bannerid=DL&source=WCOR,sales,"(10.486307, 43.839926)",55100
624,Simcar S.r.l.,,www.simcar-fcagroup.it/concessionario/abarth?locationCode=00005671&bannerid=DL&source=WCOR,sales,"(9.841266, 44.121864)",19125
625,Giustiauto,,www.giustiauto-fcagroup.it/concessionario/abarth?locationCode=00002503&bannerid=DL&source=WCOR,sales,"(10.43804, 43.679609)",56121
626,C.A.A.R. S.r.l.,,www.caar-fcagroup.it/concessionario/abarth?locationCode=00002683&bannerid=DL&source=WCOR,sales,"(10.426299, 44.436026)",42035
627,GIUSTIAUTO S.R.L.,, ,sales,"(10.554595, 43.676007)",56021
628,SCOTTI  S.P.A.,,www.grupposcotti-fcagroup.it/concessionario/abarth?locationCode=00006911&bannerid=DL&source=WCOR,sales,"(10.33337, 43.576426)",57121
629,BRANDINI S.P.A.,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00006821&bannerid=DL&source=WCOR,sales,"(10.935494, 43.987713)",51100
630,Auto 2000,,www.autoduemila.it/concessionario/abarth?locationCode=00001702&bannerid=DL&source=WCOR,sales,"(10.629337, 43.62828)",56038
631,SCOTTI S.P.A.,,www.grupposcotti-fcagroup.it/concessionario/abarth?locationCode=00005403&bannerid=DL&source=WCOR,sales,"(10.9104, 43.7049)",50053
632,DOTT. MANLIO PALMUCCI S.P.A. - NUOVA 4M,,www.palmucci-fcagroup.it/concessionario/abarth?locationCode=00008258&bannerid=DL&source=WCOR,sales,"(11.065654, 43.879607)",59100
633,Dott. Manlio Palmucci S.p.A.,,www.palmucci-fcagroup.it/concessionario/abarth?locationCode=00000704&bannerid=DL&source=WCOR,sales,"(11.112023, 43.869331)",59100
634,Sport Rama Gruppo Autorama,,www.gruppoautorama-fcagroup.it/concessionario/abarth?locationCode=00004555&bannerid=DL&source=WCOR,sales,"(10.787234, 44.556462)",41049
635,BRANDINI S.P.A.,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00007584&bannerid=DL&source=WCOR,sales,"(11.0998, 42.78207)",58100
636,SIENA AUTO S.R.L.,,www.sienaauto-spa.it/concessionario/abarth?locationCode=00000157&bannerid=DL&source=WCOR,sales,"(11.429648, 43.219773)",53014
637,S.M.A.B. DI MARZUCCHI ALFREDO E C.S.N.C.,, ,sales,"(11.375273, 43.265047)",53100
638,UGO SCOTTI S.R.L.,,www.ugoscotti-fcagroup.it/concessionario/abarth?locationCode=00005448&bannerid=DL&source=WCOR,sales,"(11.338064, 43.291951)",53100
639,Auto 2000,,www.autoduemila.it/concessionario/abarth?locationCode=00001702&bannerid=DL&source=WCOR,sales,"(10.629337, 43.62828)",56038
640,SCOTTI S.P.A.,,www.grupposcotti-fcagroup.it/concessionario/abarth?locationCode=00005403&bannerid=DL&source=WCOR,sales,"(10.9104, 43.7049)",50053
641,GIUSTIAUTO S.R.L.,, ,sales,"(10.554595, 43.676007)",56021
642,UGO SCOTTI S.R.L.,,www.ugoscotti-fcagroup.it/concessionario/abarth?locationCode=00005448&bannerid=DL&source=WCOR,sales,"(11.338064, 43.291951)",53100
643,S.M.A.B. DI MARZUCCHI ALFREDO E C.S.N.C.,, ,sales,"(11.375273, 43.265047)",53100
644,Giustiauto,,www.giustiauto-fcagroup.it/concessionario/abarth?locationCode=00002503&bannerid=DL&source=WCOR,sales,"(10.43804, 43.679609)",56121
645,Brandini,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00000990&bannerid=DL&source=WCOR,sales,"(11.235795, 43.773248)",50142
646,SCOTTI  S.P.A.,,www.grupposcotti-fcagroup.it/concessionario/abarth?locationCode=00006911&bannerid=DL&source=WCOR,sales,"(10.33337, 43.576426)",57121
647,SIENA AUTO S.R.L.,,www.sienaauto-spa.it/concessionario/abarth?locationCode=00000157&bannerid=DL&source=WCOR,sales,"(11.429648, 43.219773)",53014
648,CAR VILLAGE S.R.L.,,www.carvillage-fcagroup.it/concessionario/abarth?locationCode=00008292&bannerid=DL&source=WCOR,sales,"(11.19924, 43.83193)",50019
649,DOTT. MANLIO PALMUCCI S.P.A. - NUOVA 4M,,www.palmucci-fcagroup.it/concessionario/abarth?locationCode=00008258&bannerid=DL&source=WCOR,sales,"(11.065654, 43.879607)",59100
650,Dott. Manlio Palmucci S.p.A.,,www.palmucci-fcagroup.it/concessionario/abarth?locationCode=00000704&bannerid=DL&source=WCOR,sales,"(11.112023, 43.869331)",59100
651,AUTO-SI S.R.L.,,www.autosi-fcagroup.it/concessionario/abarth?locationCode=00001231&bannerid=DL&source=WCOR,sales,"(10.486307, 43.839926)",55100
652,Nuovauto S.p.A.,,www.nuovauto-fcagroup.it/concessionario/abarth?locationCode=00000922&bannerid=DL&source=WCOR,sales,"(11.555784, 43.551157)",52028
653,BRANDINI S.P.A.,,www.brandini-fcagroup.it/concessionario/abarth?locationCode=00006821&bannerid=DL&source=WCOR,sales,"(10.935494, 43.987713)",51100
